SMILES,sars,mers
Cc1ccc(-n2c(SCC(N)=O)nc3ccccc3c2=O)c(C)c1,,-7.772
COC(=O)NC1(C(=O)O)CCCC1,-5.466,-5.431
O=C(Cn1c(=O)cnc2ccccc21)Nc1cccc([N+](=O)[O-])c1,,-7.591
Cc1nc(COc2ccc(-c3nnco3)cc2)no1,-6.659,-7.338
Ic1ccc2c(c1)CCC2,-4.314,-5.119
CCC1CCCNC1,-3.923,-4.238
CN1CCN(CCCSc2nc(N)c(C#N)cc2C#N)CC1,-6.717,-6.46
Cc1c(F)cccc1[N+](=O)[O-],-5.182,-5.229
Cl.Cl.NCC1(c2ccncc2)CCCC1,-5.482,-6.378
CNC(=O)COc1ccccc1Cl,-4.871,-5.504
O=C(Cn1cccc(C(F)(F)F)c1=O)Nc1cccnc1-n1cncn1,-7.06,-7.633
COc1ccc(C(=O)O)c(N)c1F,-5.47,-5.619
O=c1ccc([N+](=O)[O-])cn1CCNC1CCCCC1C(F)(F)F,-6.627,-7.12
O=c1[nH]ncn2ccnc12,-5.097,-5.068
CC(C)(C)C#N,-3.656,-3.3
O=C1CCSc2ccc(Cl)cc21,-5.144,-5.572
O=C(Nc1ccccc1Br)C1CCC1,-5.118,-5.465
COc1ccc(NC(=O)CC#N)cc1,-5.045,-5.424
CCC(C)C(NC)C(=O)O.Cl,-4.999,-5.717
CCCS(=O)(=O)c1ccccc1C(=O)Nc1cccc(Cn2ccnc2)c1,-6.965,-7.393
CC(=O)NCCc1ccco1,-4.295,-4.829
Oc1ccc(C2CCN(Cc3nnnn3-c3ccccc3)CC2)cc1,-7.655,-8.158
CC1CN(S(=O)(=O)NCCCn2ccnc2)CC(C)O1,-5.778,-6.439
Cl.OC1(c2ccccc2Br)CNC1,-5.321,-6.027
CN(C)Cc1ccccc1CNC(=O)c1ccc(NC(=O)C2CC2)cc1,-6.53,-6.864
O=C(O)CC1CCCC2CC12,-4.725,-5.357
Cc1csc(C(C#N)C(=O)c2cccc(Nc3cnccn3)c2)n1,-7.082,-7.669
NC(=O)c1c(N)sc2c1CCCC2,-5.564,-6.049
C=C(Br)CN(CCO)CCCO,-4.428,-4.595
O=C(OCc1cc(Cl)c2c(c1)OCO2)c1ccc(-n2cnnn2)cc1,-7.847,-7.726
COc1ccc(C(=O)C2CCN(c3nnnn3-c3ccccc3)CC2)cc1,-7.554,-7.959
